,ets_add_add_false,ets_add_mul_false,ets_mul_add_false,ets_mul_mul_false,ets_add_add_true,ets_add_mul_true,ets_mul_add_true,ets_mul_mul_true
76,260.2878440540388,140.18072374872028,170.88801133924542,170.85485492289348,193.06129609492336,161.85295175821844,134.40306161100312,205.93297234485811
77,263.46244372352777,140.27696871359763,171.7703118212794,171.8418572618689,194.00529985437385,161.9879644287284,134.36844094462413,206.7329925026276
78,266.6370433930167,140.3732797581257,172.65261230331336,172.83456136224635,194.9304235386353,162.11411380962633,134.3345126915727,207.5014520461151
79,269.81164306250565,140.46965692767333,173.53491278534733,173.83300016222844,195.83704474921154,162.23197544766413,134.30126300358233,208.23947538814375
80,272.9862427319946,140.56610026764048,174.4172132673813,174.83720679029685,196.72553353557626,162.34208832685758,134.26867830935177,208.9481571505186
81,276.16084240148354,140.66260982345827,175.29951374941527,175.84721456631138,197.59625254621366,162.44495708629816,134.2367453090058,209.62856201745922
82,279.3354420709725,140.75918564058904,176.18181423144924,176.86305700261553,198.44955717663834,162.54105411721966,134.20545096866678,210.28172469904027
83,282.5100417404614,140.85582776452634,177.0641147134832,177.88476780514853,199.2857957144545,162.63082154401397,134.17478251513452,210.90864999312413
84,285.68464140995036,140.95253624079493,177.94641519551718,178.9123808745636,200.10530948151435,162.71467309398994,134.1447274306729,211.510312935113
85,288.8592410794393,141.04931111495085,178.82871567755114,179.94593030735294,200.908432973233,162.79299586071298,134.1152734479005,212.08765902565037
86,292.03384074892824,141.14615243258143,179.7110161595851,180.98545039697885,201.6954939951173,162.86615196575877,134.08640854478358,212.64160452716297
87,295.2084404184172,141.24306023930527,180.59331664161908,182.0309756350118,202.46681379656388,162.93448012367256,134.05812093972898,213.17303682085455
88,298.3830400879061,141.34003458077228,181.47561712365305,183.08254071227472,203.22270720198154,162.99829711485083,134.03039908677547,213.6828148164411
89,301.55763975739507,141.43707550266376,182.35791760568702,184.14018051999415,203.96348273929084,163.05789917096388,134.00323167088104,214.17176940755667
90,304.732239426884,141.53418305069235,183.240218087721,185.2039301509579,204.68944276585395,163.11356327741828,133.9766076033045,214.64070396635734
91,307.90683909637295,141.63135727060205,184.12251856975496,186.27382490067941,205.40088359188582,163.1655483972239,133.95051601707948,215.0903948714129
92,311.0814387658619,141.7285982081683,185.00481905178893,187.34990026856897,206.09809560139703,163.21409662048427,133.92494626257897,215.52159206349987
93,314.25603843535083,141.82590590919796,185.8871195338229,188.43219195911146,206.78136337071803,163.25943424357544,133.89988790316846,215.93501962439797
94,317.4306381048398,141.92328041952933,186.76942001585687,189.52073588305115,207.4509657846526,163.30177278191755,133.87533071094617,216.331376374248
95,320.6052377743287,142.0207217850322,187.65172049789084,190.61556815858313,208.10717615030848,163.3413099200822,133.85126466256833,216.71133648345085
96,323.77983744381766,142.11823005160784,188.5340209799248,191.7167251125518,208.75026230865126,163.37823040281307,133.82767993515805,217.07555009547974
97,326.9544371133066,142.21580526518903,189.41632146195877,192.8242432816562,209.38048674382716,163.4127068703743,133.80456690229596,217.42464395734038
98,330.12903678279554,142.31344747174012,190.29862194399274,193.93815941366225,209.99810669029955,163.44490064147897,133.7819161300911,217.75922205474836
99,333.3036364522845,142.41115671725697,191.1809224260267,195.0585104686221,210.6033742378425,163.47496244688972,133.75971837333037,218.0798662494034
100,336.4782361217734,142.50893304776704,192.06322290806068,196.18533362010047,211.1965364344346,163.50303311662833,133.73796457170485,218.38713691602283
101,339.65283579126236,142.6067765093294,192.94552339009465,197.31866625640808,211.77783538709483,163.52924422357862,133.71664584611182,218.68157357706022
102,342.8274354607513,142.70468714803474,193.82782387212862,198.45854598184218,212.34750836070188,163.55371868611985,133.69575349503066,218.96369553327415
103,346.00203513024024,142.80266501000537,194.7101243541626,199.60501061793428,212.9057878748368,163.57657133228588,133.67527899097112,219.23400248853238
104,349.1766347997292,142.9007101413953,195.59242483619656,200.7580982047051,213.452901798689,163.5979094278077,133.65521397699277,219.4929751674383
105,352.3512344692181,142.99882258839023,196.47472531823053,201.91784700192676,213.98907344406416,163.6178331702661,133.635550263294,219.74107592454976
106,355.52583413870707,143.09700239720755,197.3570258002645,203.08429549039218,214.51452165653183,163.6364361514547,133.61627982386918,219.97874934412903
107,358.700433808196,143.19524961409638,198.23932628229846,204.25748237319195,215.02946090475012,163.65380578993398,133.59739479323287,220.2064228295136
